Trabajo,Empleador,Localizacion,Fecha
técnicos,PARTS AND SERVICES RT,Quito,1
Desarrollador Web .Net,Stratus Solutions S.A,Quito,3
CONTADOR OKASCONSULTING GROUP,Claro,Quito,0
ASISTENTE BANCA DE PERSONAS 29 ENERO 2021,Claro,Guayaquil,0
ASESOR DE NEGOCIOS 2021 QUITO CARAPUNGO,Claro,Quito,0
Comprador de Bienes y Servicios,Almacenes De Prati S.A.,Guayaquil,0
INGENIERO DE CONTROL DE VERSIONES Y DEVOPS,BGR,Quito,0
JEFE REGIONAL DE NEGOCIOS COSTA,Claro,Portoviejo,0
COORDINADOR DE ZONA QUITO,DEGEREMCIA,Quito,0
Coordinador de Atención al Cliente,FUNDACION TIERRA NUEVA,Quito,0
Asesor Comercial,Multitrabajos.com S.A,Quito,0
Operador Telefónico / Teletrabajo,Talento Humano SA,Quito,0
ASESORES COMERCIALES,Leterago del Ecuador S.A.,Guayaquil,0
ASESOR COMERCIAL VIRUSCLEAN,Claro,Guayaquil,0
EJECUTIVO I CONTROL DE TARJETA CARTERA Y CONTINGENTE,Claro,Guayaquil,0
EJECUTIVO COMERCIAL AMBATO,EQUIVIDA COMPANIA DE SEGUROS S.A.,Ambato,0
ANALISTA DE SELECCION GUAYAQUIL,Serinse S.A.,Guayaquil,0
ARQUITECTO BIG DATA,Banco Pichincha,Ecuador,0
Ayudante Técnico en Telecomunicaciones [Chillán],PEOPLE GO,Chile,0
PASANTE DE SEGURIDAD Y SALUD OCUPACIONAL,Adecco,Quito,0
ANALISTA CONTABLE,Adecco,Quito,0
PASANTE DE REGULACION,Adecco,Quito,0
Vendedoresas con o sin experiencia,VERA CENTENO LEONILA ALEXANDRA,Quito,0
Asistente de ventas y marketing Software B2B,Rivca,Quito,0
Chofer para Guayaquil Experiencia en Empresas Retail,Optimoda,Guayaquil,0
Coordinador Comercial de Repuestos experiencia en el sector automotriz,FOTON DEL ECUADOR,Quito,0
Trade Marketing - Soporte Comercial,Dimprokel S.A.,Quito,0
"NECESITO UNA PERSONA 25 A 30 AÑOS MULTIFUNCIONAL: CUIDADOR NOCTURNO, CHOFER REPARTIDOR Y PRODUCCION",VELAS MAGICAS HAPPY BIRTHDAY,Guayaquil,0
bodeguero despachador de repuestos hidraulicos,HIDRONEUMATIC,Cuenca,0
Recepcionista,TH Competencia,Quito,0
vendedor santo domingo,DULCES GOXUA,Quito,0
