Trabajo,Empleador,Localizacion,Fecha,Link,Descripción
Arquitecto Residente de Obra,Ingeniero Civil Marcelo Nunez Aguirre,"Riobamba, Chimborazo",Hace 2 días,/jobad/ecfd66a0395cc2735ef0f11afcb8ed9966,"Descripción * FUNCIONES DEL CARGO   - Coordinar actividades de campo   - Hacer levantamientos de planimetría (Verificación de dimensiones, linderos y ubicacion).   - Realizar dibuj…"
ARQUITECTO DE NEGOCIOS BRM TRANSFORMACION E INNOVACION,Claro,"Guayaquil, Guayas",Hace 9 días,/jobad/ec4c9e9849b7781e3f54014265415f6f9b,"OBJETIVO DEL CARGO:   SER UN VÍNCULO CRUCIAL ENTRE EL PROVEEDOR DE SERVICIOS DE TI Y LA EMPRESA, ACTUANDO COMO CONECTOR, ORQUESTADOR ENTRE TECNOLOGÍA Y LAS UNIDADES DE NEGOCIO DE L…"
ARQUITECTO SOLUCIONES BIZAGI,Banco Pichincha,Ecuador,Hace 9 días,/jobad/ec73eec8df63652a67431f18ec06ef529f,"Investigar, determinar y evaluar las soluciones tecnológicas actuales y propuestas a fin de garantizar una arquitectura y entorno tecnológico simple, adaptable y escalable a las ne…"
ARQUITECTO DE SOFTWARE,Banco Pichincha,Ecuador,Hace 9 días,/jobad/ec90ea2178eaa3866679cd05a93beaa62e,"Investigar, determinar y evaluar las soluciones tecnológicas actuales y propuestas a fin de garantizar una arquitectura y entorno tecnológico simple, adaptable y escalable a las ne…"
Ingeniero civil o Arquitecto - Coordinador Técnico de Interventoria,Chinatecnocore Equipos Petroleros C.L.,Orellana,Hace 23 días,/jobad/ecb05b0a25b591811f327292d47f42032d,"Empresa del área petrolera: Chinatecnocore Equipos Petroleros C.L. Se requiere Ingeniero Civil y/o Arquitecto, con experiencia Coordinación de Interventoría de obras civiles o de i…"
Residente de Obra - Arquitecto o Ingenieros Civil,Chinatecnocore Equipos Petroleros C.L.,Orellana,Hace 23 días,/jobad/ec6ce8075cdc6bc024f5ef9d1ad99d5466,"Empresa del área petrolera: Chinatecnocore Equipos Petroleros C.L. ARQUITECTO o INGENIERO CIVIL. Obras estrato alto. Supervisor de obra, selección de contratistas, cumplimiento de …"
Coordinador de mantenimiento locativo. - Arquitecto o ingeniero civil,Chinatecnocore Equipos Petroleros C.L.,Orellana,Hace 24 días,/jobad/ec12b754721ebaf82382f676846a1e2dee,"Empresa del área petrolera: Chinatecnocore Equipos Petroleros C.L. requiere de manera urgente de un ingeniero civil y/o arquitecto, con experiencia como coordinador de infraestruct…"
Arquitecto/Ing. Civil,N/A,Loja,Hace 9 días,/jobad/ec5d3a7244b0ecaa4101e5bcf798d8dd8e,"Importante Institución desea incorporar a su equipo técnico un profesional en Arquitectura, cuya función principal es la de fiscalizar los proyectos de construcción y que los mismo…"
"Arquitectos, Diseñadores de Interiores o afines, para Asesores Comerciales",DURAMAS,"Guayaquil, Guayas",Hace 13 días,/jobad/ecdb849e3b16d6460e106a2860a340dadc,"REQUISITOS:    Especializados en Arquitectura, Diseño de    Interiores o ramas afines.    Experiencia en ventas de acabados    para la construcción (no indispensable)    Dispuesto …"
Ingeniero Civil y/o Arquitecto supervisor,PETROLEOS Y SERVICIOS KENTODAL ECUADOR S.A.,"Guayaquil, Guayas",Hace 2 meses,/jobad/ec20a5492a31a4fd32a3240b2465d6f13f,"Empresa petrolera trabajo en Guayaqui EMPRESA PETROLEOS Y SERVICIOS KENTODAL ECUADOR S.A. solicita Ingeniero Civil y/o Arquitecto con experiencia en construcción de vías, que sepa …"
